1,Need Food,Provide food for the needy,2023-12-01T10:00:00,1,0,Looking for hero
2,Need Clothes,Donate clothes to the needy,2023-12-05T15:00:00,3,4,Hero found
3,Need Shelter,Provide temporary shelter,2023-12-10T18:00:00,5,6,Hero found
4,Need Medicine,Donate essential medicines,2023-12-15T09:00:00,7,0,Looking for hero
5,Need Education,Support education for children,2023-12-20T12:00:00,9,10,Hero found
6,Need Water,Provide clean drinking water,2023-12-25T14:00:00,11,0,Looking for hero
7,Need Hygiene Kits,Distribute hygiene kits,2023-12-30T11:00:00,13,14,Hero found
8,Need Blankets,Donate blankets for winter,2024-01-05T16:00:00,15,16,Hero found
9,Need Books,Provide books for education,2024-01-10T13:00:00,1,0,Looking for hero
10,Need Toys,Donate toys for children,2024-01-15T17:00:00,3,4,Hero found
11,Need Job Assistance,Help with job search,2024-01-20T10:00:00,5,6,Hero found
12,Need Counseling,Provide counseling services,2024-01-25T15:00:00,7,0,Looking for hero
13,Need Transportation,Assist with transportation,2024-01-30T18:00:00,9,10,Hero found
14,Need Legal Aid,Provide legal assistance,2024-02-05T09:00:00,11,12,Hero found
15,Need Financial Aid,Support with financial aid,2024-02-10T12:00:00,13,0,Looking for hero
16,Need Employment,Help find employment,2024-02-15T14:00:00,15,16,Hero found
17,Need Mental Health Support,Provide mental health support,2024-02-20T10:00:00,1,0,Looking for hero
18,Need Elderly Care,Assist elderly with daily tasks,2024-02-25T15:00:00,3,4,Hero found
19,Need Disability Support,Support people with disabilities,2024-03-01T18:00:00,5,6,Hero found
20,Need Childcare,Provide childcare services,2024-03-05T09:00:00,7,0,Looking for hero
21,Need Disaster Relief,Assist in disaster relief efforts,2024-03-10T12:00:00,9,10,Hero found
22,Need Community Development,Support community development projects,2024-03-15T14:00:00,11,0,Looking for hero
23,Need Animal Rescue,Help rescue and care for animals,2024-03-20T11:00:00,13,14,Hero found
24,Need Environmental Cleanup,Participate in environmental cleanup,2024-03-25T16:00:00,15,16,Hero found
25,Need Technology Access,Provide access to technology,2024-03-30T13:00:00,1,0,Looking for hero
26,Need Language Classes,Teach language classes,2024-04-05T17:00:00,3,4,Hero found